index,LapTime,DriverNumber
0,NaT,44
1,0 days 00:01:26.431000,44
2,NaT,44
3,0 days 00:01:25.900000,44
4,0 days 00:01:48.330000,44
5,NaT,44
6,0 days 00:01:34.032000,44
7,NaT,44
8,0 days 00:01:56.466000,44
9,NaT,44
10,NaT,44
11,0 days 00:01:25.347000,44
12,0 days 00:01:38.393000,44
13,NaT,44
14,0 days 00:01:27.929000,44
15,0 days 00:01:45.067000,44
16,NaT,44
17,0 days 00:01:24.616000,44
18,0 days 00:01:37.953000,44
19,NaT,44
20,0 days 00:01:24.303000,44
21,0 days 00:01:58.369000,44
22,NaT,77
23,0 days 00:01:26.092000,77
24,0 days 00:02:22.292000,77
25,0 days 00:01:25.801000,77
26,0 days 00:01:47.560000,77
27,NaT,77
28,0 days 00:01:25.015000,77
29,NaT,77
30,NaT,77
31,0 days 00:01:26.510000,77
32,0 days 00:01:48.904000,77
33,NaT,77
34,0 days 00:01:24.766000,77
35,0 days 00:01:45.904000,77
36,NaT,77
37,0 days 00:01:24.616000,77
38,0 days 00:01:54.139000,77
39,NaT,33
40,0 days 00:01:26.115000,33
41,0 days 00:02:04.149000,33
42,NaT,33
43,0 days 00:01:26.144000,33
44,NaT,33
45,NaT,33
46,0 days 00:01:28.393000,33
47,0 days 00:01:42.161000,33
48,NaT,33
49,0 days 00:01:25.763000,33
50,0 days 00:01:40.647000,33
51,NaT,33
52,0 days 00:01:25.325000,33
53,0 days 00:01:51.363000,33
54,NaT,16
55,0 days 00:01:26.550000,16
56,0 days 00:02:16.544000,16
57,0 days 00:01:31.498000,16
58,NaT,16
59,0 days 00:01:26.203000,16
60,NaT,16
61,NaT,16
62,0 days 00:01:27.223000,16
63,0 days 00:01:48.767000,16
64,NaT,16
65,0 days 00:01:26.047000,16
66,0 days 00:01:43.483000,16
67,NaT,16
68,0 days 00:01:25.427000,16
69,0 days 00:01:56.298000,16
70,NaT,4
71,0 days 00:01:57.043000,4
72,0 days 00:02:04.977000,4
73,0 days 00:01:26.855000,4
74,0 days 00:01:39.154000,4
75,NaT,4
76,0 days 00:01:27.073000,4
77,0 days 00:01:49.654000,4
78,NaT,4
79,0 days 00:01:26.420000,4
80,NaT,4
81,NaT,4
82,0 days 00:01:26.488000,4
83,0 days 00:01:57.547000,4
84,NaT,4
85,0 days 00:01:26.456000,4
86,0 days 00:01:47.146000,4
87,NaT,4
88,0 days 00:01:25.782000,4
89,0 days 00:01:54.666000,4
90,NaT,18
91,0 days 00:01:26.555000,18
92,0 days 00:02:19.459000,18
93,0 days 00:01:26.924000,18
94,0 days 00:01:41.734000,18
